time,q_des_j1,q_j1,err_j1,qd_des_j1,qd_j1,qdd_des_j1,qdd_cmd_j1,tau_raw_j1,tau_sat_j1,util_raw_j1,util_ema_j1,gov_scale_cur,gov_scale_next,braking_j1
96.687000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.688000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.689000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.690000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.691000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.692000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.693000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.694000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.695000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.696000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.697000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.698000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.699000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.700000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.701000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.702000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.703000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.704000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.705000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.706000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.707000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.708000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.709000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.710000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.711000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.712000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.713000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.714000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.715000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.716000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.717000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.718000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.719000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.720000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.721000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.722000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.723000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.724000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.725000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.726000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.727000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.728000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.729000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.730000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.731000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.732000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.733000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.734000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.735000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.736000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.737000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.738000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.739000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.740000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.741000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.742000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.743000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.744000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.745000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.746000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.747000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.748000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.749000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.750000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.751000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.752000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.753000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.754000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
96.755000,1.483530,1.483530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,1.0000,1.0000,0
